Player,Nation,Pos,Squad,Age,Born,MatchesPlayed,Gls,Ast,xG,xAG,Shots,SoT,PassCmp,PassAtt,PassCmpPct,Tkl,TklW,Blocks,Int,GK_GA,GK_GA90,GK_SoTA,GK_Saves,GK_SavePct,GK_CS,GK_CSPct,GK_PKAtt,GK_PKA,GK_PKsv,GK_PKm,GK_PSxG,GK_PSxG_per_SoT,GK_PSxG_PlusMinus,GK_PSxG_PlusMinus_per90,GK_PassCmp,GK_PassAtt,GK_PassCmpPct,GK_GKPassAtt,GK_Throws,GK_LaunchPct,GK_AvgLen,GK_CrossesStp,GK_CrossesStpPct,GK_OPA,GK_OPA90,GK_OPA_AvgDist,IsGK,AgeYears
mateo mendia,ar ARG,DF,Boca Juniors,19,2004,2.0,0,0,0.0,0.0,1,1,78,93,83.87,2,1,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0
mateo mendoza,ar ARG,DF,Godoy Cruz,19,2004,9.0,3,0,1.0,0.0,7,4,317,398,79.65,29,19,10,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0
mateo pellegrino,ar ARG,FW,Platense,22,2001,21.8,10,1,10.1,1.4,53,17,230,431,53.36,7,4,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0
mateo perez,ar ARG,DF,Banfield,23,2000,1.9,0,0,0.1,0.0,1,1,43,62,69.35,3,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,23.0
mateo sanabria,ar ARG,MF,Lanús,19,2004,1.8,1,1,0.2,0.2,2,1,24,32,75.0,3,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0
mateo silvetti,ar ARG,"MF,FW",Newell's OB,18,2006,13.5,4,1,2.3,1.7,32,17,165,302,54.64,15,8,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,18.0
mathias de ritis,uy URU,DF,Banfield,21,2003,13.5,1,0,0.5,0.8,14,4,370,608,60.86,39,29,13,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0
matias abaldo,uy URU,FW,Gimnasia–LP,19,2004,11.4,3,2,1.9,2.5,25,10,227,356,63.76,4,4,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0
matias acevedo,ar ARG,MF,Racing Club,15,2008,0.2,0,0,0.0,0.0,0,0,5,6,83.33,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,15.0
matias catalan,cl CHI,DF,Talleres,31,1992,8.0,1,0,0.2,0.0,3,1,351,427,82.2,12,8,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0
matias contrera,ar ARG,FW,Estudiantes–LP,18,2005,0.1,0,0,0.0,0.0,0,0,2,4,50.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,18.0
matias de los santos,uy URU,DF,Atlé Tucumán,31,1992,10.1,0,0,0.2,0.0,3,0,228,327,69.72,16,13,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,31.0
matias diaz,ar ARG,MF,Cen. Córdoba–SdE,19,2004,0.7,0,0,0.2,0.0,3,0,18,24,75.0,3,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,19.0
matias espindola,ar ARG,"MF,DF",Tigre,20,2003,0.2,0,0,0.0,0.0,0,0,7,12,58.33,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0
matias esquivel,ar ARG,"MF,FW",Talleres,24,1999,4.2,0,0,0.4,0.3,9,2,220,289,76.12,8,3,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0
matias galarza,py PAR,"MF,FW",Talleres,21,2002,13.6,3,1,2.5,0.5,27,13,300,409,73.35,34,19,16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0
matias gimenez,ar ARG,MF,Independiente,24,1999,0.3,0,0,0.0,0.0,0,0,2,6,33.33,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0
matias godoy,ar ARG,"FW,MF",Cen. Córdoba–SdE,22,2002,15.9,1,3,2.1,2.9,22,7,315,424,74.29,20,13,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,22.0
matias gomez,ar ARG,FW,Huracán,20,2003,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,20.0
matias gonzalez,ar ARG,MF,Banfield,21,2002,10.0,0,2,0.7,0.9,19,5,242,374,64.71,27,19,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,21.0
matias kranevitter,ar ARG,MF,River Plate,30,1993,7.4,0,0,0.0,0.2,1,0,378,443,85.33,20,13,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,30.0
matias mansilla,ar ARG,GK,Estudiantes–LP,27,1996,26.0,0,0,0.0,0.0,0,0,505,676,74.7,0,0,0,1,32.0,1.23,99.0,68.0,71.7,5.0,19.2,4.0,4.0,0.0,0.0,33.1,0.3,2.1,0.08,90.0,244.0,36.9,479.0,133.0,30.7,33.4,31.0,7.9,18.0,0.69,12.2,True,27.0
matias marin,cl CHI,"MF,FW",Belgrano,24,1999,1.8,0,1,0.2,0.2,3,1,49,80,61.25,2,1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,24.0
