name,dob,nationality,position,team,age_years,is_gk,season,league_code,player_id_fb
franco minerva,2006,ar ARG,"MF,FW",Platense,17.0,False,2024,ARG1,
franco moyano,1997,ar ARG,MF,Talleres,26.0,False,2024,ARG1,
franco nicola,2002,uy URU,"MF,FW",Atlé Tucumán,21.0,False,2024,ARG1,
franco pardo,1997,ar ARG,DF,Unión,26.0,False,2024,ARG1,
franco paredes,1999,ar ARG,DF,Sarmiento,24.0,False,2024,ARG1,
franco petroli,1998,ar ARG,GK,Godoy Cruz,25.0,True,2024,ARG1,
franco rami,2003,ar ARG,MF,Belgrano,20.0,False,2024,ARG1,
franco romero,2000,ar ARG,MF,Ind. Rivadavia,23.0,False,2024,ARG1,
franco troyansky,1997,ar ARG,"FW,MF",Gimnasia–LP,26.0,False,2024,ARG1,
franco watson,2000,ar ARG,"MF,FW",Huracán,24.0,False,2024,ARG1,
franco zapiola,2001,ar ARG,MF,Platense,22.0,False,2024,ARG1,
frank fabra,1991,co COL,"DF,MF",Boca Juniors,32.0,False,2024,ARG1,
gabriel alanis,1994,ar ARG,"FW,MF",Defensa y Just,29.0,False,2024,ARG1,
gabriel aranda,2001,ar ARG,DF,Banfield,22.0,False,2024,ARG1,
gabriel arias,1987,cl CHI,GK,Racing Club,36.0,True,2024,ARG1,
gabriel avalos,1990,py PAR,FW,Independiente,33.0,False,2024,ARG1,
gabriel carabajal,1991,ar ARG,"MF,FW",Newell's OB,32.0,False,2024,ARG1,
gabriel compagnucci,1991,ar ARG,"DF,MF",Belgrano,32.0,False,2024,ARG1,
gabriel diaz,2000,ar ARG,DF,Sarmiento,23.0,False,2024,ARG1,
gabriel gudino,1992,ar ARG,"MF,FW",Sarmiento,31.0,False,2024,ARG1,
gabriel hachen,1990,ar ARG,"MF,FW",Platense,33.0,False,2024,ARG1,
gabriel hauche,1986,ar ARG,"MF,FW",Sarmiento,37.0,False,2024,ARG1,
gabriel neves,1997,uy URU,"MF,FW",Independiente,26.0,False,2024,ARG1,
gabriel rojas,1997,ar ARG,"DF,MF",Racing Club,26.0,False,2024,ARG1,
galvan vittar,2004,ar ARG,FW,Cen. Córdoba–SdE,19.0,False,2024,ARG1,
gary medel,1987,cl CHI,"DF,MF",Boca Juniors,36.0,False,2024,ARG1,
gaspar duarte,2003,ar ARG,"FW,MF",Rosario Central,21.0,False,2024,ARG1,
