name,dob,position,team,age_years,is_gk,season,league_code,player_id_fb,name_norm,dob_key,k1,tm_player_id,market_value_eur,last_update,nationality,fuzzy_score,player_uuid
damian fernandez,2001,DF,Vélez Sarsfield,23.0,False,2024,ARG1,,damian fernandez,2001,damian fernandez|2001,,,,ar ARG,,damian fernandez|2001
damian martinez,1990,DF,Rosario Central,34.0,False,2024,ARG1,,damian martinez,1990,damian martinez|1990,,,,ar ARG,,damian martinez|1990
damian perez,1988,DF,Independiente,35.0,False,2024,ARG1,,damian perez,1988,damian perez|1988,,,,ar ARG,,damian perez|1988
damian puebla,2002,"MF,FW",Instituto,21.0,False,2024,ARG1,,damian puebla,2002,damian puebla|2002,,,,ar ARG,,damian puebla|2002
daniel barrea,2001,"MF,FW",Godoy Cruz,22.0,False,2024,ARG1,,daniel barrea,2001,daniel barrea|2001,,,,ar ARG,,daniel barrea|2001
daniel herrera,2004,"DF,MF",San Lorenzo,19.0,False,2024,ARG1,,daniel herrera,2004,daniel herrera|2004,,,,ar ARG,,daniel herrera|2004
daniel juarez,2001,FW,Barracas Central,22.0,False,2024,ARG1,,daniel juarez,2001,daniel juarez|2001,,,,ar ARG,,daniel juarez|2001
daniel zabala,2003,DF,River Plate,21.0,False,2024,ARG1,,daniel zabala,2003,daniel zabala|2003,,,,ar ARG,,daniel zabala|2003
dante campisi,1996,GK,Unión,27.0,True,2024,ARG1,,dante campisi,1996,dante campisi|1996,,,,ar ARG,,dante campisi|1996
dardo miloc,1990,MF,Barracas Central,33.0,False,2024,ARG1,,dardo miloc,1990,dardo miloc|1990,118375.0,200000.0,,ar ARG,100.0,dardo miloc|1990
dario caceres,1998,"DF,MF",Defensa y Just,26.0,False,2024,ARG1,,dario caceres,1998,dario caceres|1998,,,,py PAR,,dario caceres|1998
dario sarmiento,2003,"MF,FW",Tigre,20.0,False,2024,ARG1,,dario sarmiento,2003,dario sarmiento|2003,,,,ar ARG,,dario sarmiento|2003
david barbona,1995,"MF,FW",Defensa y Just,28.0,False,2024,ARG1,,david barbona,1995,david barbona|1995,,,,ar ARG,,david barbona|1995
david gallardo,1997,"MF,DF",Sarmiento,26.0,False,2024,ARG1,,david gallardo,1997,david gallardo|1997,,,,ar ARG,,david gallardo|1997
david gonzalez,2003,"MF,FW",Racing Club,20.0,False,2024,ARG1,,david gonzalez,2003,david gonzalez|2003,,,,ar ARG,,david gonzalez|2003
david sotelo,2003,MF,Newell's OB,20.0,False,2024,ARG1,,david sotelo,2003,david sotelo|2003,,,,ar ARG,,david sotelo|2003
david zalazar,2002,"FW,MF",Gimnasia–LP,21.0,False,2024,ARG1,,david zalazar,2002,david zalazar|2002,,,,ar ARG,,david zalazar|2002
dayro pena,0,"FW,MF",Tigre,0.0,False,2024,ARG1,,dayro pena,,dayro pena|,,,,0,,dayro pena|
delfor minervino,1996,DF,Deportivo Riestra,27.0,False,2024,ARG1,,delfor minervino,1996,delfor minervino|1996,,,,ar ARG,,delfor minervino|1996
diego azcurra,1998,"FW,MF",Sarmiento,25.0,False,2024,ARG1,,diego azcurra,1998,diego azcurra|1998,,,,ar ARG,,diego azcurra|1998
diego calcaterra,2001,MF,Sarmiento,22.0,False,2024,ARG1,,diego calcaterra,2001,diego calcaterra|2001,,,,ar ARG,,diego calcaterra|2001
diego herazo,1996,"FW,MF",San Lorenzo,27.0,False,2024,ARG1,,diego herazo,1996,diego herazo|1996,,,,co COL,,diego herazo|1996
diego matias rodriguez,1989,GK,Arg Juniors,34.0,True,2024,ARG1,,diego matias rodriguez,1989,diego matias rodriguez|1989,65929.0,125000.0,,ar ARG,95.0,diego matias rodriguez|1989
diego ortegoza,1997,MF,Talleres,26.0,False,2024,ARG1,,diego ortegoza,1997,diego ortegoza|1997,,,,cl CHI,,diego ortegoza|1997
diego pavia,2005,DF,Barracas Central,18.0,False,2024,ARG1,,diego pavia,2005,diego pavia|2005,,,,ar ARG,,diego pavia|2005
diego tarzia,2003,"FW,MF",Independiente,20.0,False,2024,ARG1,,diego tarzia,2003,diego tarzia|2003,,,,ar ARG,,diego tarzia|2003
diego tonetto,1988,MF,Ind. Rivadavia,35.0,False,2024,ARG1,,diego tonetto,1988,diego tonetto|1988,,,,ar ARG,,diego tonetto|1988
dylan aquino,2005,"FW,MF",Lanús,18.0,False,2024,ARG1,,dylan aquino,2005,dylan aquino|2005,,,,ar ARG,,dylan aquino|2005
dylan gorosito,2006,DF,Boca Juniors,17.0,False,2024,ARG1,,dylan gorosito,2006,dylan gorosito|2006,,,,ar ARG,,dylan gorosito|2006
edinson cavani,1987,FW,Boca Juniors,36.0,False,2024,ARG1,,edinson cavani,1987,edinson cavani|1987,48280.0,2500000.0,,uy URU,100.0,edinson cavani|1987
eduardo salvio,1990,"FW,MF",Lanús,33.0,False,2024,ARG1,,eduardo salvio,1990,eduardo salvio|1990,84535.0,2200000.0,,ar ARG,100.0,eduardo salvio|1990
edwuin cetre,1998,"FW,MF",Estudiantes–LP,26.0,False,2024,ARG1,,edwuin cetre,1998,edwuin cetre|1998,,,,co COL,,edwuin cetre|1998
elian irala,2004,MF,San Lorenzo,19.0,False,2024,ARG1,,elian irala,2004,elian irala|2004,,,,ar ARG,,elian irala|2004
elias baez,2004,DF,San Lorenzo,19.0,False,2024,ARG1,,elias baez,2004,elias baez|2004,,,,ar ARG,,elias baez|2004
elias cabrera,2003,"MF,FW",Cen. Córdoba–SdE,20.0,False,2024,ARG1,,elias cabrera,2003,elias cabrera|2003,,,,ar ARG,,elias cabrera|2003
elias gomez,1994,DF,Vélez Sarsfield,29.0,False,2024,ARG1,,elias gomez,1994,elias gomez|1994,,,,ar ARG,,elias gomez|1994
elias lopez,2000,DF,Sarmiento,23.0,False,2024,ARG1,,elias lopez,2000,elias lopez|2000,,,,ar ARG,,elias lopez|2000
elias ocampo,2004,"DF,FW",Rosario Central,19.0,False,2024,ARG1,,elias ocampo,2004,elias ocampo|2004,,,,ar ARG,,elias ocampo|2004
elias pereyra,1999,DF,Godoy Cruz,24.0,False,2024,ARG1,,elias pereyra,1999,elias pereyra|1999,576027.0,250000.0,,ar ARG,100.0,elias pereyra|1999
emanuel aguilera,1989,DF,Defensa y Just,34.0,False,2024,ARG1,,emanuel aguilera,1989,emanuel aguilera|1989,,,,ar ARG,,emanuel aguilera|1989
