Player,MarketValueEUR,team_name,team_id
Tomás Olmos,,CA Talleres,3938
Rodrigo Villagra,,CA Talleres,3938
Matías Galarza,,CA Talleres,3938
Ulises Ortegoza,,CA Talleres,3938
Mateo Seoane,,CA Talleres,3938
Joaquín Mosqueira,,CA Talleres,3938
Matías Esquivel,,CA Talleres,3938
Franco Moyano,,CA Talleres,3938
Juan Portilla,,CA Talleres,3938
Matías Galarza Fonda,,CA Talleres,3938
Marcos Portillo,,CA Talleres,3938
Matías Gómez,,CA Talleres,3938
Gustavo Albarracín,,CA Talleres,3938
Emanuel Reynoso,,CA Talleres,3938
Rodrigo Garro,,CA Talleres,3938
Rubén Botta,,CA Talleres,3938
Luis Sequeira,,CA Talleres,3938
Jeremías Gallard,,CA Talleres,3938
Ramón Sosa,,CA Talleres,3938
Rick,,CA Talleres,3938
Alejandro Martínez,,CA Talleres,3938
Valentín Depietri,,CA Talleres,3938
Luis Angulo,,CA Talleres,3938
Sebastián Zeballos,,CA Talleres,3938
Sebastián Palacios,,CA Talleres,3938
Nicolás Vallejo,,CA Talleres,3938
Diego Barrera,,CA Talleres,3938
Gustavo Bou,,CA Talleres,3938
Nahuel Bustos,,CA Talleres,3938
Federico Girotti,,CA Talleres,3938
Ramiro Ruiz Rodríguez,,CA Talleres,3938
Tomás Molina,,CA Talleres,3938
Cristian Tarragona,,CA Talleres,3938
Bruno Barticciotto,,CA Talleres,3938
Lautaro Ovando,,CA Talleres,3938
David Romero,,CA Talleres,3938
Francisco Pozzo,,CA Talleres,3938
Valentín Dávila,,CA Talleres,3938
Facundo Altamirano,,CA San Lorenzo de Almagro,1775
Gastón Gómez,,CA San Lorenzo de Almagro,1775
Augusto Batalla,,CA San Lorenzo de Almagro,1775
Lautaro López Kaleniuk,,CA San Lorenzo de Almagro,1775
Mateo Clemente,,CA San Lorenzo de Almagro,1775
Orlando Gill,,CA San Lorenzo de Almagro,1775
Rafael Pérez,,CA San Lorenzo de Almagro,1775
Gastón Hernández,,CA San Lorenzo de Almagro,1775
Fabricio Formiliano,,CA San Lorenzo de Almagro,1775
Nicolás Hernández,,CA San Lorenzo de Almagro,1775
Jhohan Romaña,,CA San Lorenzo de Almagro,1775
Gastón Campi,,CA San Lorenzo de Almagro,1775
Gonzalo Luján,,CA San Lorenzo de Almagro,1775
Jeremías James,,CA San Lorenzo de Almagro,1775
Maximiliano Zelaya,,CA San Lorenzo de Almagro,1775
Daniel Herrera,,CA San Lorenzo de Almagro,1775
Ramiro Pedroza,,CA San Lorenzo de Almagro,1775
Tomás Silva,,CA San Lorenzo de Almagro,1775
Elías Báez,,CA San Lorenzo de Almagro,1775
Agustín Giay,,CA San Lorenzo de Almagro,1775
Nahuel Arias,,CA San Lorenzo de Almagro,1775
Lucas Coronel,,CA San Lorenzo de Almagro,1775
Fabricio López,,CA San Lorenzo de Almagro,1775
Eric Remedi,,CA San Lorenzo de Almagro,1775
Nicolás Tripichio,,CA San Lorenzo de Almagro,1775
Jalil Elías,,CA San Lorenzo de Almagro,1775
Carlos Sánchez,,CA San Lorenzo de Almagro,1775
Elián Irala,,CA San Lorenzo de Almagro,1775
Cristian Ferreira,,CA San Lorenzo de Almagro,1775
Manuel Insaurralde,,CA San Lorenzo de Almagro,1775
Gastón Ramírez,,CA San Lorenzo de Almagro,1775
Francisco Perruzzi,,CA San Lorenzo de Almagro,1775
Gonzalo Alassia,,CA San Lorenzo de Almagro,1775
Santiago Sosa,,CA San Lorenzo de Almagro,1775
Agustín Hausch,,CA San Lorenzo de Almagro,1775
Malcom Braida,,CA San Lorenzo de Almagro,1775
Iker Muniain,,CA San Lorenzo de Almagro,1775
Iván Tapia,,CA San Lorenzo de Almagro,1775
Agustín Martegani,,CA San Lorenzo de Almagro,1775
Gonzalo Maroni,,CA San Lorenzo de Almagro,1775
Sebastián Blanco,,CA San Lorenzo de Almagro,1775
Alexis Sabella,,CA San Lorenzo de Almagro,1775
Tomás Porra,,CA San Lorenzo de Almagro,1775
Juan Cruz Vega,,CA San Lorenzo de Almagro,1775
Agustín Ladstatter,,CA San Lorenzo de Almagro,1775
Nahuel Barrios,,CA San Lorenzo de Almagro,1775
Tobías Medina,,CA San Lorenzo de Almagro,1775
Carlos Auzqui,,CA San Lorenzo de Almagro,1775
Iván Leguizamón,,CA San Lorenzo de Almagro,1775
Ezequiel Cerutti,,CA San Lorenzo de Almagro,1775
Matías Reali,,CA San Lorenzo de Almagro,1775
Adam Bareiro,,CA San Lorenzo de Almagro,1775
Nahuel Bustos,,CA San Lorenzo de Almagro,1775
Federico Girotti,,CA San Lorenzo de Almagro,1775
Andrés Vombergar,,CA San Lorenzo de Almagro,1775
Cristian Tarragona,,CA San Lorenzo de Almagro,1775
Facundo Bruera,,CA San Lorenzo de Almagro,1775
Francisco Fydriszewski,,CA San Lorenzo de Almagro,1775
Diego Herazo,,CA San Lorenzo de Almagro,1775
Nicolás Blandi,,CA San Lorenzo de Almagro,1775
Alexis Cuello,,CA San Lorenzo de Almagro,1775
Matías Hernández,,CA San Lorenzo de Almagro,1775
Mauro Pérez,,CA San Lorenzo de Almagro,1775
Diego Perea,,CA San Lorenzo de Almagro,1775
Thiago Perugini,,CA San Lorenzo de Almagro,1775
Gabriel Arias,,Racing Club,1444
Facundo Cambeses,,Racing Club,1444
Matías Tagliamonte,,Racing Club,1444
Roberto León,,Racing Club,1444
Francisco Gómez,,Racing Club,1444
Santiago Sosa,,Racing Club,1444
Germán Conti,,Racing Club,1444
Nazareno Colombo,,Racing Club,1444
Leonardo Sigali,,Racing Club,1444
Gonzalo Piovi,,Racing Club,1444
Agustín García Basso,,Racing Club,1444
Marco Di Césare,,Racing Club,1444
Santiago Quirós,,Racing Club,1444
Gonzalo Escudero,,Racing Club,1444
Gabriel Rojas,,Racing Club,1444
Emiliano Insúa,,Racing Club,1444
Juan Elordi,,Racing Club,1444
Ignacio Galván,,Racing Club,1444
Facundo Mura,,Racing Club,1444
Gastón Martirena,,Racing Club,1444
Iván Pillud,,Racing Club,1444
Tobías Rubio,,Racing Club,1444
Aníbal Moreno,,Racing Club,1444
Bruno Zuculini,,Racing Club,1444
Juan Ignacio Nardoni,,Racing Club,1444
Leonel Miranda,,Racing Club,1444
Agustín Almendra,,Racing Club,1444
Martín Barrios,,Racing Club,1444
Máximo Paredes,,Racing Club,1444
Santino Vera,,Racing Club,1444
Catriel Cabellos,,Racing Club,1444
Juan Fernando Quintero,,Racing Club,1444
Emiliano Vecchio,,Racing Club,1444
Jonatan Gómez,,Racing Club,1444
Nicolás Oroz,,Racing Club,1444
Matías Acevedo,,Racing Club,1444
Baltasar Rodríguez,,Racing Club,1444
David González,,Racing Club,1444
Agustín Urzi,,Racing Club,1444
Johan Carbonero,,Racing Club,1444
Agustín Ojeda,,Racing Club,1444
Santiago Solari,,Racing Club,1444
Matías Bergara,,Racing Club,1444
Ramiro Degregorio,,Racing Club,1444
Roger Martínez,,Racing Club,1444
Luciano Vietto,,Racing Club,1444
Maximiliano Romero,,Racing Club,1444
Nicolás Reniero,,Racing Club,1444
Maximiliano Salas,,Racing Club,1444
Adrián Martínez,,Racing Club,1444
Gabriel Hauche,,Racing Club,1444
Román Fernández,,Racing Club,1444
Emiliano Saliadarre,,Racing Club,1444
Santiago Rojas,,Club Atlético Tigre,11831
Felipe Zenobio,,Club Atlético Tigre,11831
Gonzalo Marinelli,,Club Atlético Tigre,11831
Fede Gomes,,Club Atlético Tigre,11831
Matías Tagliamonte,,Club Atlético Tigre,11831
Alan Sosa,,Club Atlético Tigre,11831
Luka Fuster,,Club Atlético Tigre,11831
Robert Rojas,,Club Atlético Tigre,11831
Kevin Lomónaco,,Club Atlético Tigre,11831
Emanuel Aguilera,,Club Atlético Tigre,11831
Ramón Arias,,Club Atlético Tigre,11831
Víctor Cabrera,,Club Atlético Tigre,11831
Tomás Lecanda,,Club Atlético Tigre,11831
Abel Luciatti,,Club Atlético Tigre,11831
Nehuén Paz,,Club Atlético Tigre,11831
Pablo Adorno,,Club Atlético Tigre,11831
Gian Nardelli,,Club Atlético Tigre,11831
Facundo Giacopuzzi,,Club Atlético Tigre,11831
Brian Leizza,,Club Atlético Tigre,11831
Pablo Minissale,,Club Atlético Tigre,11831
Augusto Aguirre,,Club Atlético Tigre,11831
Tomás Fernández,,Club Atlético Tigre,11831
Sebastián Prieto,,Club Atlético Tigre,11831
Juan Sánchez Miño,,Club Atlético Tigre,11831
Nahuel Genez,,Club Atlético Tigre,11831
Lautaro Montoya,,Club Atlético Tigre,11831
Nahuel Banegas,,Club Atlético Tigre,11831
Tomás Cavanagh,,Club Atlético Tigre,11831
Ángelo Marchese,,Club Atlético Tigre,11831
Martín Garay,,Club Atlético Tigre,11831
Martín Ortega,,Club Atlético Tigre,11831
Valentín Moreno,,Club Atlético Tigre,11831
Sebastián Prediger,,Club Atlético Tigre,11831
